secret_column,base_prec,base_recall,attack_prec,attack_recall,alc,base_count,attack_count,base_ci,base_ci_low,base_ci_high,base_n,attack_ci,attack_ci_low,attack_ci_high,attack_n
CVP,1.0,0.03305785123966942,1.0,0.03305785123966942,0.0,121,121,0.4898908364545973,0.5101091635454027,1.0,4,0.4898908364545973,0.5101091635454027,1.0,4
CVP,0.9310344827586207,0.2396694214876033,0.896551724137931,0.2396694214876033,-0.2542684722219629,121,121,0.2005245353333236,0.7803541984972431,0.9808787338305667,29,0.22803591955706104,0.736149189092262,0.964185108649323,29
CVP,0.9302325581395349,0.35537190082644626,0.8837209302325582,0.35537190082644626,-0.3498640332548984,121,121,0.16207827943520536,0.8139101309875802,0.9759884104227856,43,0.19408734070277966,0.7552083818991787,0.9492957226019584,43
CVP,0.9245283018867925,0.4380165289256198,0.9056603773584906,0.4380165289256198,-0.13322886378513843,121,121,0.14884521974958564,0.8214152251634678,0.9702604449130534,53,0.16156463226571227,0.7974627262370373,0.9590273585027496,53
CVP,0.9354838709677419,0.512396694214876,0.9032258064516129,0.512396694214876,-0.2646100388856931,121,121,0.129102251757088,0.8455248427224712,0.9746270944795592,62,0.15037631409988028,0.8045118138769258,0.9548881279768061,62
CVP,0.9305555555555556,0.5950413223140496,0.9027777777777778,0.5950413223140496,-0.21334330382425054,121,121,0.12245441327096518,0.8475202051632648,0.9699746184342299,72,0.13945413797761264,0.8126495420487315,0.9521036800263442,72
CVP,0.9367088607594937,0.6528925619834711,0.8987341772151899,0.6528925619834711,-0.318468758008269,121,121,0.11241398674771974,0.860251148372212,0.9726651351199317,79,0.13508760353904592,0.8127005885203686,0.9477881920594146,79
CVP,0.9438202247191011,0.7355371900826446,0.8876404494382022,0.7355371900826446,-0.5276700913799419,121,121,0.10062128893006494,0.8751458326492151,0.97576712157928,89,0.13242267957363751,0.8053898870598024,0.9378125666334399,89
CVP,0.9489795918367347,0.8099173553719008,0.8979591836734694,0.8099173553719008,-0.5252944571562965,121,121,0.09193720505631686,0.8860754835396585,0.9780126885959753,98,0.12135165895526467,0.8222723377188417,0.9436239966741063,98
CVP,0.8842975206611571,1.0,0.9173553719008265,1.0,0.1593737226052381,121,121,0.11468478205115107,0.8151300267053523,0.9298148087565034,121,0.09995578949456951,0.854535161068024,0.9544909505625935,121
ERRLOWOUTPUT,1.0,0.1188118811881188,0.75,0.1188118811881188,-10.093792032569253,101,101,0.2424940066552409,0.7575059933447591,1.0,12,0.4433636665395108,0.46769466506643437,0.9110583316059452,12
ERRLOWOUTPUT,1.0,0.36633663366336633,0.8378378378378378,0.36633663366336633,-62.07950110647522,101,101,0.09405782583720246,0.9059421741627975,1.0,37,0.2348527646692382,0.6886351629906503,0.9234879276598885,37
ERRLOWOUTPUT,1.0,0.43564356435643564,0.8636363636363636,0.43564356435643564,-91.60737795280107,101,101,0.08029560375848066,0.9197043962415193,1.0,44,0.20306498550959573,0.7329054695148455,0.9359704550244412,44
ERRLOWOUTPUT,1.0,0.49504950495049505,0.84,0.49504950495049505,-175.88148695577226,101,101,0.07134759913335886,0.9286524008666414,1.0000000000000002,50,0.2017679538500159,0.7148578393696501,0.916625793219666,50
ERRLOWOUTPUT,1.0,0.6138613861386139,0.8548387096774194,0.6138613861386139,-457.2662193094396,101,101,0.05834407210137249,0.9416559278986275,1.0,62,0.17513982306237574,0.7465660628844542,0.9217058859468299,62
ERRLOWOUTPUT,1.0,0.6831683168316832,0.8695652173913043,0.6831683168316832,-807.2149967792215,101,101,0.05273725818905173,0.9472627418109483,1.0,69,0.15951672099983805,0.7703170006041271,0.9298337216039652,69
ERRLOWOUTPUT,1.0,0.7623762376237624,0.8571428571428571,0.7623762376237624,-2008.584601543621,101,101,0.047518425282433996,0.9524815747175658,0.9999999999999998,77,0.15628938526058678,0.7620272983402658,0.9183166836008526,77
ERRLOWOUTPUT,1.0,0.8217821782178217,0.8554216867469879,0.8217821782178217,-3673.5776418423716,101,101,0.044235309641973974,0.9557646903580262,1.0000000000000002,83,0.15123502119385923,0.7640819877833327,0.9153170089771919,83
ERRLOWOUTPUT,1.0,0.8811881188118812,0.8651685393258427,0.8811881188118812,-5354.805061345954,101,101,0.04137654523625267,0.9586234547637476,1.0000000000000002,89,0.14219632250610248,0.7789609654865195,0.921157287992622,89
ERRLOWOUTPUT,0.9900990099009901,1.0,0.8811881188118812,1.0,-5.548906050433574,101,101,0.05221724674548689,0.9460328420055449,0.9982500887510318,101,0.12698333159895925,0.8037294739391891,0.9307128055381484,101
HISTORY,1.0,0.06,1.0,0.06,0.0,500,500,0.1135133931739688,0.8864866068260312,1.0,30,0.1135133931739688,0.8864866068260312,1.0,30
HISTORY,1.0,0.338,0.9881656804733728,0.338,-3.6004162659405483,500,500,0.02222533208701527,0.9777746679129847,1.0,169,0.03886508879000683,0.9578834917163649,0.9967485805063717,169
HISTORY,1.0,0.476,0.9873949579831933,0.476,-11.812039458295303,500,500,0.015884202979201567,0.9841157970207982,0.9999999999999998,238,0.032101960317904465,0.9636020973805965,0.995704057698501,238
HISTORY,1.0,0.59,0.9864406779661017,0.59,-34.24028049750608,500,500,0.012854504310926274,0.9871454956890737,1.0,295,0.02905404804984968,0.9656607001492518,0.9947147481991014,295
HISTORY,1.0,0.644,0.9875776397515528,0.644,-52.16538368299627,500,500,0.011789349441895358,0.9882106505581046,1.0,322,0.0266589078299172,0.9684999626615085,0.9951588704914257,322
HISTORY,1.0,0.7,0.9857142857142858,0.7,-104.92701939562242,500,500,0.01085644071640779,0.989143559283592,0.9999999999999998,350,0.02688362272182454,0.9669993460054039,0.9938829687272285,350
HISTORY,1.0,0.754,0.986737400530504,0.754,-170.8520803345811,500,500,0.010086766374095557,0.9899132336259042,0.9999999999999998,377,0.02498853740829421,0.969333525381671,0.9943220627899652,377
HISTORY,1.0,0.798,0.9849624060150376,0.798,-304.3483476671848,500,500,0.009535907331732818,0.9904640926682674,1.0000000000000002,399,0.025505080178578332,0.967585309362615,0.9930903895411933,399
HISTORY,1.0,0.838,0.9832935560859188,0.838,-489.47850931832875,500,500,0.0090848679583313,0.9909151320416689,1.0000000000000002,419,0.025962902875093286,0.9659214465062194,0.9918843493813126,419
HISTORY,1.0,1.0,0.984,1.0,-800.0079999947598,500,500,0.007624340461552137,0.9923756595384479,1.0,500,0.023121855500005895,0.9687488914666058,0.9918707469666117,500
