predict_type,known_columns,num_known_columns,secret_column,predicted_value,true_value,prediction,base_confidence,attack_confidence
base,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,1.0,
attack,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,,0.885
base,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,1.0,
attack,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,,0.308
base,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,1.0,
attack,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,,0.166
base,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,0.98,
attack,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,,1.0
base,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,1.0,
attack,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,,0.923
