secret_column,base_prec,base_recall,attack_prec,attack_recall,alc,base_count,attack_count,base_ci,base_ci_low,base_ci_high,base_n,attack_ci,attack_ci_low,attack_ci_high,attack_n
Age,0.9473684210526315,0.06109324758842444,0.631578947368421,0.06109324758842444,-2.093160955224187,311,311,0.2370353176066875,0.753612688331012,0.9906480059376995,19,0.39810954090061856,0.41039533164803066,0.8085048725486492,19
Age,0.8823529411764706,0.43729903536977494,0.625,0.43729903536977494,-1.215544212635563,311,311,0.10884642757732454,0.817426453960262,0.9262728815375866,136,0.16062497128075792,0.5412537518929232,0.7018787231736812,136
Age,0.8263473053892215,0.5369774919614148,0.5748502994011976,0.5369774919614148,-0.848524946903924,311,311,0.11455063215246097,0.7617339008680021,0.876284533020463,167,0.14830017798896472,0.49901716259823153,0.6473173405871963,167
Age,0.7960199004975125,0.6463022508038585,0.572139303482587,0.6463022508038585,-0.6603957612174443,311,311,0.11092045533365091,0.7350083148955604,0.8459287702292113,201,0.13553697818163002,0.5030179624580017,0.6385549406396317,201
Age,0.7906976744186046,0.6913183279742765,0.5813953488372093,0.6913183279742765,-0.6044667738068075,311,311,0.10827874570690676,0.7314555063655196,0.8397342520724264,215,0.1307539525807414,0.5145895898909417,0.6453435424716831,215
Age,0.7613168724279835,0.7813504823151125,0.5637860082304527,0.7813504823151125,-0.5125059776794683,311,311,0.10666669865349221,0.7039167913237613,0.8105834899772535,243,0.12374620165681827,0.5009202405902187,0.6246664422470369,243
Age,0.7557251908396947,0.842443729903537,0.5610687022900763,0.842443729903537,-0.49573828613897497,311,311,0.103561121443136,0.7002493532625802,0.8038104747057162,262,0.11932200418692851,0.5005252460221532,0.6198472502090817,262
Age,0.7402135231316725,0.9035369774919614,0.5622775800711743,0.9035369774919614,-0.431418663069163,311,311,0.10205640054978038,0.6859457299930727,0.7880021305428531,281,0.11523845028001811,0.5038184604850183,0.6190569107650364,281
Age,0.7272727272727273,0.954983922829582,0.5521885521885522,0.954983922829582,-0.4085178146011272,311,311,0.10081915550211917,0.673961093314696,0.7747802488168152,297,0.11239088152487642,0.4953267133341427,0.6077175948590191,297
Age,0.7202572347266881,1.0,0.5562700964630225,1.0,-0.37508654017620124,311,311,0.09930985986436103,0.6679148915791966,0.7672247514435576,311,0.10976612136389441,0.5007004703611053,0.6104665917249997,311
